source,task_type,source_id,question,context,choice_labels,choice_texts,gold_label,gold_index,gold_text,explanation,subject,meta
ReClor,reading_comp_mcq,train_1767,The reasoning in the television host's argument is flawed in that the argument,"Television host: While it' s true that the defendant presented a strong alibi and considerable exculpatory evidence and was quickly acquitted by the jury, I still believe that there must be good reason to think that the defendant is not completely innocent in the case. Otherwise, the prosecutor would not have brought charges in the first place.","['A', 'B', 'C', 'D']","['presupposes as evidence the conclusion that it is trying to establish', 'confuses legal standards for guilt with moral standards for guilt', 'places undue reliance on the judgments of an authority figure', 'takes lack of evidence for a view as grounds for concluding that the view is false']",C,2,places undue reliance on the judgments of an authority figure,,,{}
MedQA,mcq_medical,,"A 56-year-old man comes to the physician for evaluation of gradually worsening fatigue, increased urinary frequency, and blurry vision for 5 months. He has not seen a doctor in several years. Physical examination shows decreased vibratory sense and proprioception in the lower extremities. His hemoglobin A1c is 10.4%. Treatment for his condition with an appropriate medication is begun. In response to this drug, pancreatic islet cells begin producing increasing amounts of secretory granules. The patient was most likely treated with which of the following drugs?",step1,"['A', 'B', 'C', 'D']","['Metformin', 'Pioglitazone', 'Glimepiride', 'Acarbose']",C,2,Glimepiride,,,"{'metamap_phrases': ['year old man', 'physician', 'evaluation', 'worsening fatigue', 'increased urinary frequency', 'blurry vision', 'months', 'not seen', 'doctor', 'years', 'Physical examination shows decreased vibratory sense', 'proprioception', 'lower extremities', 'hemoglobin A1c', '10.4', 'Treatment', 'condition', 'appropriate medication', 'begun', 'response to', 'drug', 'pancreatic islet cells begin', 'increasing amounts', 'secretory granules', 'patient', 'most likely treated with', 'following drugs']}"
AQUA-RAT,mcq_rationale,,Milk contains 5% water.What quantity of pure milk should be added to 10 litres of milk to reduce this to 2% ?,,"['A', 'B', 'C', 'D', 'E']","['5 litres', '7 litres', '15 litres', 'Cannot be determined', 'None of these']",C,2,15 litres,"Here required quantity of pure milk = 10×(5−2)/2
= 10×3/2 = 15 litres.
Answer C",,{}
ReClor,reading_comp_mcq,train_652,Which one of the following statements best expresses a main point of the argument?,"The term ""sex"" and ""gender"" are often used interchangeably. But ""sex"" more properly refers to biological differences of male and female, while ""gender"" refers to society' s construction of a system that identifies what is masculine and feminine. Unlike the set of characteristics defining biological sex, the set of traits that are associated with gender does not sort people into two nonoverlapping groups. The traits characterize people in a complex way, so that a person may have both ""masculine"" and ""feminine"" traits.","['A', 'B', 'C', 'D']","['Distinctions based on gender are frequently arbitrary.', 'Society rather than the individual decides what is considered proper behavior.', 'The terms ""sex"" and ""gender"" are not properly interchangeable.', 'Gender traits are not determined at birth.']",C,2,"The terms ""sex"" and ""gender"" are not properly interchangeable.",,,{}
SciQ,mcq_science,,What is it called when individual organisms work together with one another?,"Bees and other social animals must cooperate to live together successfully. Cooperation means working together with others. Members of the group may cooperate by dividing up tasks, defending each other, and sharing food. The ants in Figure below are sharing food. One ant is transferring food directly from its mouth to the mouth of another colony member.","['A', 'B', 'C', 'D']","['cooperation', 'continuation', 'competition', 'dualism']",A,0,cooperation,,,{'choice_order': 'constructed_from_correct_plus_distractors'}
MMLU,mcq,,"As the basic building materials of communication, words communicate meaning, but as we have seen, the meanings of words are very much influenced by culture. Meaning is in the person, not in the word, as each person is the product of a particular culture which passes on shared and  appropriate  meanings. Thus, if we want to learn to communicate well in a foreign language, we must understand the culture that gives that language meaning, Culture gives meaning and provides the context for communication, and the ability to communicate allows us to act out our cultural values and to share our language and our culture.   But our own native language and culture are so much a part of us that we take them for granted. When we travel to another country, it's as if we carry along with our passports. We view the new environment using our own culture as the standard, and although not purposely, our ways of thinking and acting often get in the way of our understanding other languages and cultures. The ability and willingness to change lenses   when we look at a different culture is both the cure and the prevention for such cultural blindness. Studying a new language provides us the opportunities to practise  changing lenses when we also learn the context or the culture to which _ belongs. What can we learn from this passage?",,"['A', 'B', 'C', 'D']","['You have to forget your culture to prevent cultural blindness.', 'The meanings of words are not very important in language learning.', 'Culture is a must for learners of foreign languages.', 'One has to live in the country to learn its language well.']",C,2,Culture is a must for learners of foreign languages.,,,{}
AQUA-RAT,mcq_rationale,,Two numbers when divided by a divisor leave remainders of 228 and 352 respectively. The remainder obtained when the sum of the numbers is divided by the same divisor is 68. Find the divisor.,,"['A', 'B', 'C', 'D', 'E']","['512', '573', '634', '685', '736']",A,0,512,"Let x be the divisor.
N1 = xa + 228
N2 = xb + 352
N1 + N2 = x(a+b) + 580 = xc + 68
x(c-a-b) = 512 but we know that x > 352, thus (c-a-b) must equal 1.
The answer is A.",,{}
ARC-Easy,mcq_science,Mercury_406774,Organisms that reproduce asexually generally have offspring that are,,"['A', 'B', 'C', 'D']","['unicellular.', 'multicellular.', 'genetically varied.', 'genetically identical.']",D,3,genetically identical.,,,{}
ARC-Easy,mcq_science,Mercury_7203280,Sulfur scrubbers are devices installed in coal-fired power plants. Sulfur scrubbers reduce the emission of sulfur dioxide. What environmental problem are sulfur scrubbers most likely trying to address?,,"['A', 'B', 'C', 'D']","['ozone', 'erosion', 'acid rain', 'nutrient runoff']",C,2,acid rain,,,{}
MMLU,mcq,,"Travel is fun and exciting, but it's not if you get sick. You may think, ""Not me, I won't get sick in my holiday."" But, for many people, that is what happens. Of course you don't want to spend your holiday sick in bed. So what can you do to stay in good health? There are three things you should remember when you travel: relax, sleep, and eat well. A holiday must be a time for relaxing. But very often it is not. Think about what you do when you are a traveller. There are many places to visit: museums, shops, parks, churches. You may spend most days walking around these places. This can be very tiring. You may have a terrible headache after a few hours. If this is the way you feel, you should take a rest. Don't ask your body to do too much. A tired body means a weak body. And a weak body gets sick easily. So sit down for a few hours in a nice place. In good weather, look for a quiet park bench . Or you can stop at a cafe. You can learn a lot by watching people while you rest. Sleep is also important. If you want to stay healthy, you need to get enough sleep. You may have trouble sleeping at night when you travel. There may be too many noises in your hotel or the bed may be uncomfortable. If this is true, don't be afraid to change rooms or hotels. Or you may get enough sleep for another reason. You may want to stay out late at night. In many cities, the nightlife can be very exciting. Then you should plan to sleep for an hour during the day. The extra  hour can make a big difference.  Finally, if you want to stay healthy, you must eat the right kinds of foods but you need to be careful about how much you eat. Lots of food is not good for you. So, remember this, if you want to enjoy your holiday, take care of yourself. Give your body some rest. Get enough sleep and eat good, healthy food. This passage is about   _",,"['A', 'B', 'C', 'D']","['how to stay healthy when you travel', 'how exciting travel is', 'relaxing when you travel', 'what you eat when you travel']",A,0,how to stay healthy when you travel,,,{}
SciQ,mcq_science,,"In humans, there are five primary tastes, and each taste has only one corresponding type of what?","In humans, there are five primary tastes, and each taste has only one corresponding type of receptor. Thus, like olfaction, each receptor is specific to its stimulus (tastant). Transduction of the five tastes happens through different mechanisms that reflect the molecular composition of the tastant. A salty tastant (containing NaCl) provides the sodium ions (Na+) that enter the taste neurons and excite them directly. Sour tastants are acids and belong to the thermoreceptor protein family. Binding of an acid or other sour-tasting molecule triggers a change in the ion channel and these increase hydrogen ion (H+).","['A', 'B', 'C', 'D']","['receptor', 'organ', 'neuron', 'membrane']",A,0,receptor,,,{'choice_order': 'constructed_from_correct_plus_distractors'}
MMLU,mcq,,"It's September, and we're back to school. It's good to see all my teachers and friends again. They all look fine. We are in Grade Eight this year. We are going to have some new subjects. My name is Wu Ming. Wei Fang and I are in the same class. I'm not very good at Chinese, but Wei Fang says she's going to help me. I think I can do better than last year. I like English very much. This year I'm going to do more speaking. Zhang Hong also likes English, but he needs some help. I'm going to help him. This term I'm going to work for the wall-newspaper. My classmates say I draw well. I like it, too. I'm going to do my best this year. Wei Fang and Zhang Hong are   _",,"['A', 'B', 'C', 'D']","['in Grade One', 'in the same class', 'in the same row', 'in different grades']",B,1,in the same class,,,{}
MMLU,mcq,,"""When I grow up, I want to be..."" Almost all of us have thought about, or been asked to think about, our future careers. Our answers may differ greatly. Even now your aspirations may have changed from when you were in primary school. However, it seems career options aren't only based on personal taste. In a survey carried out by Teens, doctors, lawyers, and bankers were some of most popular careers that people said they hoped to follow. This is in line with a similar survey carried out in the UK in May 2011 by job website monster. Co.uk, in which medicine was the top choice among UK teenagers aged between 13 and 17. Medicine and law are two of the oldest and best known professions. Their prestige   may come from the fact that doctors and lawyers are some of the most esteemed members of society, and they make good money. Joining these high-profile professions is often seen as a sign of upward social mobility. It is equally unsurprising that banking is now one of the most common career choices. Youngsters worldwide think of banking and see the money rolling in. Wealth is increasingly becoming one of the most important indicators of a successful career. British young men list the UK tycoon Alan Sugar, Microsoft founder Bill Gates and Facebook chief Mark Zuckerberg as their top role models ""for their wealth"". Just as Chinese teenagers see being a banker as a good and fun pathway to ""wealth"". However, not every child has the makings of doctor, lawyer, or banker. They are those who see fulfillment and happiness in other areas, and many teenagers dare to ink more individuality into their career options. As the Teens' survey discovered, a variety of unconventional jobs---coffee shop owner, gourmet ,waiter at a fast food restaurant---are among teenagers' career choices. They can be equally interesting and rewarding jobs. With every choice comes responsibility and challenge, and all career paths require specific education and training, you have to learn to balance optimism and confidence with being realistic about your particular talents and skills. What do youngsters think is increasingly becoming one of the most important indicators of a successful career?",,"['A', 'B', 'C', 'D']","['Prestige', 'Fulfillment', 'Happiness', 'Wealth']",D,3,Wealth,,,{}
MMLU,mcq,,"""Gangnam Style"" by singer Psy from Korea, is a popular song, but its extraordinary global success is really the result of its music video, which is a great piece of genius. On September 22nd, Guinness World Records listed ""Gangnam Style"" as the most-liked video in the history of YouTube. It's been performed at West Point (West-Point Style), and Google's CEO, has done the ""Gangnam Style"" horse dance at the company's office in Seoul. Even Samsung is trying to make Psy the new model for the latest type of fridge. The song's global popularity is such that the vast majority of people who enjoy it don't speak Korean, and have no idea what it is about. That's fine --- part of what makes ""Gangnam Style"" so fun is, like international pop music, the difficulty in understanding it. When we sing along, ""Hey, sexy lady"", we don't really know what we're singing about. The joy of _ is familiar to anyone who loves pop music from elsewhere. Anthony Lane, in his 2010 review of the Eurovision Song Contest, Only Mr. God Knows Why, used ""Eurovision English"" as one of its chief pleasures. It's ""a complex tongue, spoken nowhere else, which raises the heartfelt poetry   but absolute nonsense to a level of what sci-fi writers could only have dreamed. "" In similar ways, ""Gangnam Style"" is just an over-the-top video where a fat man does a funny dance and sings repetitive words that don't make sense to most of us. But on the other, the magic of the song also lies in its funny dance, which reflects not just cultural morals specific to Korea, but cultural values easily recognizable to western viewers. This song's words may be in Korean, but its scenes are in clear American. The dance moves are simple enough to copy. Nonsense, in other words, forces us to let down our guards. It makes us relax, and asks us to let in all sorts of feelings from which, otherwise, we might distance ourselves. ""Gangnam Style"" happens to be so interesting because of its incomprehensibleness. What is true about the popularity of ""Gangnam Style""?",,"['A', 'B', 'C', 'D']","['It was considered as the most popular video on the Internet.', 'It makes people amused and removes their emotional guards.', 'Its dance only reflects cultural and morals specific to Korea.', 'Psy, its singer, has been the new model for Samsung .']",B,1,It makes people amused and removes their emotional guards.,,,{}
SciQ,mcq_science,,What type of tumor mostly does not cause serious problems and can be completely removed by surgery?,,"['A', 'B', 'C', 'D']","['benign', 'toxic', 'persistent', 'malignant']",A,0,benign,,,{'choice_order': 'constructed_from_correct_plus_distractors'}
ReClor,reading_comp_mcq,train_212,The argument above is flawed because it fails to take into account,"The violent crime rate (number of violent crimes per 1, 000 residents) in Meadowbrook is 60 percent higher now than it was four years ago. The corresponding increase for Parkdale is only 10 percent. These figures support the conclusion that residents of Meadowbrook are more likely to become victims of violent crime than are residents of Parkdale.","['A', 'B', 'C', 'D']","['the ratio of violent to nonviolent crimes committed during the past four years in Meadowbrook and Parkdale', 'changes in the population density of both Parkdale and Meadowbrook over the past four years', ""how Meadowbrook's expenditures for crime prevention over the past four years compare to Parkdale's expenditures"", 'the violent crime rates in Meadowbrook and Parkdale four years ago']",D,3,the violent crime rates in Meadowbrook and Parkdale four years ago,,,{}
MedQA,mcq_medical,,"A 40-year-old man who was previously antisocial, low energy at work, and not keen to attend office parties was arrested and brought to the emergency department after he showed up to the office Christmas party out of control. He was noted to be very energetic and irritable. He spent the entire evening hijacking conversations and sharing his plans for the company that will save it from inevitable ruin. What other finding are you most likely to find in this patient’s current condition?",step1,"['A', 'B', 'C', 'D']","['Irresponsibility', 'Patient completing numerous outstanding projects', 'Rapid but interruptible speech pattern', 'Patient is unlikely to have a major depressive episode']",A,0,Irresponsibility,,,"{'metamap_phrases': ['40 year old man', 'antisocial', 'low energy', 'work', 'not keen to attend office parties', 'arrested', 'brought', 'emergency department', 'showed', 'office', 'party', 'control', 'noted to', 'very energetic', 'irritable', 'spent', 'entire evening', 'conversations', 'sharing', 'plans', 'company', 'save', 'finding', 'most likely to find', 'patients current condition']}"
ReClor,reading_comp_mcq,train_1105,"Which of the following, if true about Britain, most seriously weakens the argument?","Herbicides allow cereal crops to be grown very efficiently, with virtually no competition from weeds. In Britain, partridge populations have been steadily decreasing since herbicide use became widespread. Some environmentalists claim that these birds, which live in and around cereal crop fields, are being poisoned by the herbicides. However, tests show no more than trace quantities of herbicides in partridges on herbicide-treated land. Ttherefore, something other than herbicide use must be responsible for the population decrease.","['A', 'B', 'C', 'D']","['Birds other than partridges that live in or around cereal crop fields have also been suffering population declines.', 'Some of the weeds that are eliminated from cereal crop fields by herbicides are much smaller than the crop plants themselves and would have no negative effect on crop yield if they were allowed to grow.', ""The elimination of certain weeds from cereal crop fields has reduced the population of the small insects that live on those weeds and that form a major part of partridge chicks' diet."", 'The toxins contained in herbicides typically used on cereal crops can be readily identified in the tissues of animals that have ingested them.']",C,2,The elimination of certain weeds from cereal crop fields has reduced the population of the small insects that live on those weeds and that form a major part of partridge chicks' diet.,,,{}
MedQA,mcq_medical,,"A 33-year-old woman with Crohn’s disease colitis presents to her physician after 2 days of photophobia and blurred vision. She has had no similar episodes in the past. She has no abdominal pain or diarrhea and takes mesalazine, azathioprine, and prednisone as maintenance therapy. Her vital signs are within normal range. Examination of the eyes shows conjunctival injection. The physical examination is otherwise normal. Slit-lamp examination by an ophthalmologist shows evidence of inflammation in the anterior chamber. Which of the following is the most appropriate modification to this patient’s medication at this time?",step2&3,"['A', 'B', 'C', 'D']","['Adding infliximab', 'Discontinuing sulfasalazine', 'Increasing dose of prednisone', 'No modification of therapy at this time']",C,2,Increasing dose of prednisone,,,"{'metamap_phrases': ['year old woman', 'Crohns disease colitis presents', 'physician', '2 days', 'photophobia', 'blurred vision', 'similar episodes', 'past', 'abdominal pain', 'diarrhea', 'takes mesalazine', 'azathioprine', 'prednisone', 'maintenance therapy', 'vital signs', 'normal range', 'Examination of', 'eyes shows conjunctival injection', 'physical examination', 'normal', 'Slit-lamp examination', 'ophthalmologist shows evidence', 'inflammation', 'anterior chamber', 'following', 'most appropriate modification', 'patients medication', 'time']}"
MedQA,mcq_medical,,"Five minutes after initiating a change of position and oxygen inhalation, the oxytocin infusion is discontinued. A repeat CTG that is done 10 minutes later shows recurrent variable decelerations and a total of 3 uterine contractions in 10 minutes. Which of the following is the most appropriate next step in management?",step2&3,"['A', 'B', 'C', 'D']","['Administer terbutaline', 'Monitor without intervention', 'Amnioinfusion', 'Emergent Cesarean section']",C,2,Amnioinfusion,,,"{'metamap_phrases': ['Five minutes', 'initiating', 'change', 'position', 'oxygen inhalation', 'oxytocin infusion', 'discontinued', 'repeat', '10 minutes later shows recurrent variable decelerations', 'total', 'uterine contractions', '10 minutes', 'following', 'most appropriate next step', 'management']}"
MMLU,mcq,,"Hardly a day goes by without the subject of money being raised in most people's lives. However, it is highly debatable   whether money is more important than other things, such as health and happiness, which some people consider to be of greater significance.   To begin with, it is often argued that having money enables people to exert their influence over others. Wealthy businessmen, for example, are often the most highly respected members of society, and business tycoons   are often referred to by world leaders, who then make policies that affect the whole population. As a result, money can be seen as the single most important factor in everyday life.   Secondly, from the point of view of the individual, money is vital for survival. Western society is structured in such a way that, without money, people cannot get proper nutrition and health care. Furthermore, in some cases, the inability to pay heating bills can indeed become a matter of life and death.   On the other hand, many people say that one of the factors in life, which is undoubtedly of greater importance than money, is health. As Izaak Walton said, health is, ""a blessing that money cannot buy"". What is more, money is sometimes of little comfort to those who are suffering from health problems. Despite the fact that money can buy the best medical care available, it is not a guarantee of a longer life.   In addition, most people would agree that personal happiness easily outweighs money in importance. Even if an individual is extremely rich, this does not necessarily lead to happiness. In some cases, the contrary is true, and vast wealth brings a whole range of problems. Genuine happiness cannot be bought and it is usually independent of financial status.   On the whole, although there are those who would rank money as the single most important thing in life, we, the vast majority, would disagree. Which of the following may the author most probably NOT agree with?",,"['A', 'B', 'C', 'D']","['Money is of vital importance to most people.', 'Health is more important than money.', 'People often debate the importance of money in life.', 'Money does not guarantee a longer life but it ensures a happy one.']",D,3,Money does not guarantee a longer life but it ensures a happy one.,,,{}
AQUA-RAT,mcq_rationale,,If m is an integer such that (-2)^2m=2^(15-m) then m=?,,"['A', 'B', 'C', 'D', 'E']","['1', '2', '3', '5', '6']",D,3,5,"(-2)^(2m) = 4^m
and
2^(15-m) = 4^((15-m)/2)
Therefore,
m = (15-m)/2
2m = 15 - m
m = 5
Answer D",,{}
AQUA-RAT,mcq_rationale,,"A and B started a business in partnership investing Rs.20,000 and Rs.15,000 respectively. After six months, C joined them with Rs.20,000. What will be B's share in the total profit of Rs.26,000 earned at the end of 2 years from the starting of the business?",,"['A', 'B', 'C', 'D', 'E']","['Rs.7800', 'Rs.9000', 'Rs.9500', 'Rs.10,000', 'None']",A,0,Rs.7800,"Solution
A : B : C	=(20000×24):(15000×24):(20000×18)
=4 :3 :3
B's share	=Rs.(26000×3/10)
= Rs.7800.
Answer A",,{}
AQUA-RAT,mcq_rationale,,A baseball card decreased in value 30% in its first year and 10% in its second year. What was the total percent decrease of the card's value over the two years?,,"['A', 'B', 'C', 'D', 'E']","['28%', '30%', '32%', '36%', '37%']",E,4,37%,"Let the initial value of baseball card = 100
After first year , value of baseball card = (1- 30/100)* 100 = 70
After second year , value of baseball card =(1 - 10/100)* 70 = 63
total percent decrease of the card's value over the two years = (100-63/100 *100%
=37%
Answer E",,{}
MedQA,mcq_medical,,"A 35-year-old woman with type 1 diabetes mellitus comes to the emergency department for evaluation of a 1-month history of fever, fatigue, loss of appetite, and a 3.6-kg (8-lb) weight loss. She has also had a cough for the last 2 months. She reports recent loss of pubic hair. The patient immigrated from the Philippines 7 weeks ago. Her mother has systemic lupus erythematosus. She has never smoked and does not drink alcohol. Her only medication is insulin, but she sometimes misses doses. She is 165 cm (5 ft 5 in) tall and weighs 49 kg (108 lb); BMI is 18 kg/m2. She appears lethargic. Her temperature is 38.9°C (102°F), pulse is 58/min, and blood pressure is 90/60 mm Hg. Examination shows decreased sensation to touch and vibration over both feet. The remainder of the examination shows no abnormalities. Serum studies show:
Na+ 122 mEq/L
Cl- 100 mEq/L
K+ 5.8 mEq/L
Glucose 172 mg/dL
Albumin 2.8 g/dL
Cortisol 2.5 μg/dL
ACTH 531.2 pg/mL (N=5–27 pg/mL)
CT scan of the abdomen with contrast shows bilateral adrenal enlargement. Which of the following is the most likely underlying mechanism of this patient's symptoms?""",step2&3,"['A', 'B', 'C', 'D']","['Adrenal hemorrhage', 'Pituitary tumor', 'Infection with acid-fast bacilli', 'Autoimmune adrenalitis']",C,2,Infection with acid-fast bacilli,,,"{'metamap_phrases': ['35 year old woman', 'type 1 diabetes mellitus', 'emergency department', 'evaluation', 'month history', 'fever', 'fatigue', 'loss of appetite', '3.6 kg', 'weight loss', 'cough', 'months', 'reports recent loss of pubic hair', 'patient', 'Philippines', 'weeks', 'mother', 'systemic lupus erythematosus', 'never smoked', 'not drink alcohol', 'only medication', 'insulin', 'sometimes misses doses', '5 ft 5', 'tall', 'kg', 'BMI', 'kg/m2', 'appears lethargic', 'temperature', 'pulse', '58 min', 'blood pressure', '90 60 mm Hg', 'Examination shows decreased sensation', 'touch', 'vibration', 'feet', 'examination shows', 'abnormalities', 'Serum studies show', 'Na', 'mEq/L', '100', '5', 'Glucose', 'mg dL Albumin', 'g dL Cortisol', 'ACTH', 'pg/mL', 'N 527 pg/mL', 'CT scan', 'abdomen', 'contrast shows bilateral', 'enlargement', 'following', 'most likely underlying mechanism', 'patient', 'ymptoms?']}"
MMLU,mcq,,"When many people are worried that there are no more heroes in the modern times, two university students who lost their lives to rescue drowning children have shown that heroes still exist. According to the Inner Mongolia Morning Post, the tragedy   on the afternoon of December 14, 2002 when three school students skating on a frozen lake in Qingcheng Park in Hohhot fell through the ice into the freezing water. More than 20 university students who happened to be near the place where it happened immediately went to the rescue of the children. Two children were quickly rescued, but the third died. The child's body was not found for three hours. Two of the rescuers, Liu Ye and Hao Longbiao, also died of cold and tiredness. The body of Hao who took the lead in jumping into the lake was not found until the next day. A student who was unwilling to tell his name said he and his classmates from the local college were taking photos at the lake. When they heard the children's cries for help, they went to the ice hole hand in hand to rescue the children. But the ice kept breaking, causing most of them to fall into the icy water. Local people held mourning ceremonies   at the lake. Eight of the students were seriously affected by the freezing water and were being kept in hospital for further observation  , but their lives were no longer in danger. It can be inferred that    _   .",,"['A', 'B', 'C', 'D']","[""people think little of the two university students' death"", ""the ice on the lake wasn't strong enough to skate on"", 'some students regretted for what they had done', ""heroes don't agree with what the students do""]",B,1,the ice on the lake wasn't strong enough to skate on,,,{}
AQUA-RAT,mcq_rationale,,"P can do the work in 10 days and Q can do the same work in 12 days. If they work together for 4 days, what is the fraction of work that is left?",,"['A', 'B', 'C', 'D', 'E']","['1/3', '1/5', '2/5', '4/15', '7/15']",D,3,4/15,"4/10 + 4/12 = 44/60 = 11/15 (completed work)
The work that is left is 1 - 11/15 = 4/15
The answer is D.",,{}
MMLU,mcq,,"When you are little, the whole world feels like a big playground.I was living in Conyers, Georgia the summer it all happened.I was a second grader, but my best friend Stephanie was only in the first grade.Both of our parents were at work and most of the time they let us go our own way. It was a hot afternoon and we decided to have an adventure in Stephanie's basement.As I opened the basement door, before us lay the biggest room, full of amazing things like guns, dolls, and old clothes.I ran downstairs, and spotted a red steel can.It was paint.I looked beyond it and there lay even more paint in bright colors like purple, orange, blue and green. ""Stephanie, I just found us a project for the day. Get some paintbrushes.We are fixing to paint."" She screamed with excitement as I told her of my secret plans and immediately we got to work.We gathered all the brushes we could find and moved all of our materials to my yard.There on the road in front of my house, we painted bit stripes   of colors across the pavement.Stripe by stripe, our colors turned into a beautiful rainbow.It was fantastic! The sun was starting to sink.I saw a car in the distance and jumped up as I recognized the car.It was my mother.I couldn't wait to show her my masterpiece.The car pulled slowly into the driveway and from the look on my mother's face, I could tell that I was in deep trouble. My mother shut the car door and walked towards me.Her eyes glaring, she shouted, ""What in the world were you thinking? I understood when you made castles out of leaves, and climbed the neighbors' trees, but this! Come inside right now!"" I stood there glaring back at her for a minute, angry because she had insulted   my art. ""Now go clean it up!"" Mother and I began cleaning the road.Tears ran down my checks as I saw my beautiful rainbow turn into black cement  . Though years have now passed, I still wonder where my rainbow has gone.I wonder if, maybe when I get older, I can find my rainbow and never have to brush it away.I guess we all need sort of _ to brighten our lives from time to time and to keep our hopes and dreams colorful. In his mother's eyes, the writer  _  .",,"['A', 'B', 'C', 'D']","['was a born artist', 'always caused trouble', 'was a problem solver', 'worked very hard']",B,1,always caused trouble,,,{}
SciQ,mcq_science,,Why do electronegativities decrease from top to bottom?,"Electronegativities generally increase from left to right across a period. This is due to an increase in nuclear charge because of the greater number of protons in the nucleus. Alkali metals have the lowest electronegativities, while halogens have the highest. Because most noble gases do not form compounds, they are generally not assigned electronegativity values. Note that there is little variation among the transition metals. Electronegativities generally decrease from top to bottom within a group due to the larger atomic size.","['A', 'B', 'C', 'D']","['larger atomic size', 'smaller atomic size', 'larger atomic variation', 'larger electric pull']",A,0,larger atomic size,,,{'choice_order': 'constructed_from_correct_plus_distractors'}
MedQA,mcq_medical,,"A 4-year-old boy with a history of cerebral palsy is brought to the neurology clinic by his mother with progressive tightness in the lower extremities. Although the patient has been intermittently undergoing physiotherapy for the past 2 years at a specialized center, the patient’s mother is concerned he cannot yet climb the stairs. The neurologist recommends a different treatment, which involves multiple intramuscular injections of a drug in the muscles of the lower extremities to relieve tightness. The neurologist says this treatment approach is also often used to relieve headaches and reduce facial wrinkles. Which of the following is most likely the mechanism of action of this drug?",step1,"['A', 'B', 'C', 'D']","['Stimulates adenylate cyclase', 'Reduces neurotransmitter GABA', 'Blocks the release of acetylcholine', 'Interferes with the 60s ribosomal subunit']",C,2,Blocks the release of acetylcholine,,,"{'metamap_phrases': ['4 year old boy', 'history', 'cerebral palsy', 'brought', 'neurology clinic', 'mother', 'progressive tightness', 'lower extremities', 'patient', 'physiotherapy', 'past', 'years', 'specialized center', 'patients mother', 'concerned', 'climb', 'stairs', 'neurologist recommends', 'different treatment', 'multiple intramuscular injections of', 'drug', 'muscles of', 'lower extremities to relieve tightness', 'neurologist', 'treatment approach', 'often used to relieve headaches', 'facial wrinkles', 'following', 'most likely', 'mechanism of action', 'drug']}"
ARC-Easy,mcq_science,VASoL_2007_3_8,Which sense is used to tell if there is sugar in a glass of tea?,,"['A', 'B', 'C', 'D']","['Touch', 'Hearing', 'Smell', 'Taste']",D,3,Taste,,,{}
ReClor,reading_comp_mcq,train_3128,"Which of the following, if true, casts the most serious doubt on the efficiency of the proposed process?",Donations of imported food will be distributed to children in famine-stricken countries in the form of free school meals. The process is efficient because the children are easy to reach at the schools and cooking facilities are often available on site.,"['A', 'B', 'C', 'D']","['The donation of food tends to strengthen the standing of the political party that happens to be in power when the donation is made.', 'A massive influx of donated food will tend to lower the price of food in the areas near the schools.', 'The reduction in farm surpluses in donor countries benefits the donor countries to a greater extent than the recipient countries are benefited by the donations.', 'Supplies of fuel needed for cooking at the schools arrive there only intermittently and in inadequate quantities.']",D,3,Supplies of fuel needed for cooking at the schools arrive there only intermittently and in inadequate quantities.,,,{}
SciQ,mcq_science,,What is the division of the body into multiple parts called?,"Segmentation evolved next. This is a division of the body into multiple segments. Both the earthworm and ant pictured in Figure below have segmented bodies. This trait increases flexibility. It permits a wider range of motion. All annelids and arthropods are segmented. Arthropods also evolved jointed appendages. For example, they evolved jointed legs for walking and “feelers” (antennae) for sensing.","['A', 'B', 'C', 'D']","['segmentation', 'compression', 'transverse', 'organ-level organization']",A,0,segmentation,,,{'choice_order': 'constructed_from_correct_plus_distractors'}
MedQA,mcq_medical,,"A 26-year-old woman, gravida 2, para 1, at 28 weeks' gestation comes to the physician for a prenatal visit. She feels well. Pregnancy and delivery of her first child were uncomplicated. Her temperature is 37.2°C (99°F) and blood pressure is 163/105 mm Hg. Her blood pressure 10 weeks ago was 128/84 mm Hg. At her last visit two weeks ago, her blood pressure was 142/92 mm Hg. Pelvic examination shows a uterus consistent in size with a 28-week gestation. A complete blood count and serum concentrations of electrolytes, creatinine, and hepatic transaminases are within the reference range. A urinalysis is within normal limits. Which of the following is the most appropriate next step in management?",step2&3,"['A', 'B', 'C', 'D']","['Magnesium sulfate therapy', 'Lisinopril therapy', 'Complete bed rest', 'Hydralazine therapy']",D,3,Hydralazine therapy,,,"{'metamap_phrases': ['year old woman', 'gravida 2', 'para 1', 'weeks', 'gestation', 'physician', 'prenatal visit', 'feels well', 'Pregnancy', 'delivery', 'first child', 'uncomplicated', 'temperature', 'blood pressure', 'mm Hg', 'blood pressure 10 weeks', '84 mm Hg', 'last visit two weeks', 'blood pressure', 'mm Hg', 'Pelvic examination shows', 'uterus consistent', 'size', 'week gestation', 'complete blood count', 'serum', 'electrolytes', 'creatinine', 'hepatic transaminases', 'reference range', 'urinalysis', 'normal limits', 'following', 'most appropriate next step', 'management']}"
